City,Guest Satisfaction,average_distance_metro
Athens,98.0,0.47369453547933565
Athens,99.0,0.4913985869748746
Athens,100.0,0.47884809374797
Barcelona,20.0,0.4169766407949141
Barcelona,40.0,0.7667209986473384
Barcelona,53.0,0.2765274225575451
Barcelona,60.0,0.42051804425112244
Barcelona,63.0,0.7374319565284182
Barcelona,65.0,0.4857093926040167
Barcelona,66.0,0.4051399126620905
Barcelona,67.0,0.3730131509996677
Barcelona,68.0,0.36900968279124685
Barcelona,70.0,0.3882166562124048
Barcelona,71.0,0.17533426138502775
Barcelona,72.0,0.31263003769097
Barcelona,73.0,0.4565868317821078
Barcelona,74.0,0.5346728500260249
Barcelona,75.0,0.6183154571500671
Barcelona,76.0,0.531864593811724
Barcelona,77.0,0.3463890536517967
Barcelona,78.0,0.4273898340287689
Barcelona,79.0,0.5170071638085073
Barcelona,80.0,0.4259897837493994
Barcelona,81.0,0.43730814367296206
Barcelona,82.0,0.34320107600430005
Barcelona,83.0,0.43814016507286535
Barcelona,84.0,0.3786626055719516
Barcelona,85.0,0.4213239736099585
Barcelona,86.0,0.411289185420095
Barcelona,87.0,0.3919804808179404
Barcelona,88.0,0.4519210222899898
Barcelona,89.0,0.4784785022929825
Barcelona,90.0,0.4045859552834763
Barcelona,91.0,0.47846951298749163
Barcelona,92.0,0.42231751348660174
Barcelona,93.0,0.4396349466696659
Barcelona,94.0,0.47421587254642467
Barcelona,95.0,0.46741174315437056
Barcelona,96.0,0.46702659657348894
Barcelona,97.0,0.4792736454031255
Barcelona,98.0,0.4898846716843048
Barcelona,99.0,0.360854343544833
Barcelona,100.0,0.4630343636021889
Berlin,40.0,0.41480098764831114
Berlin,60.0,0.46415963273832833
Berlin,67.0,0.3435445534022421
Berlin,69.0,0.1910551570318214
Berlin,70.0,0.6327120119001546
Berlin,71.0,0.3678339909874616
Berlin,73.0,0.1550335429394443
Berlin,75.0,0.367929105979362
Berlin,76.0,0.32247910639653854
Berlin,78.0,0.2332195088798819
Berlin,79.0,0.39574709447198864
Berlin,80.0,0.48226098394886296
Berlin,81.0,0.4195545933836024
Berlin,82.0,0.8207298611236817
Berlin,83.0,0.5743272165972355
Berlin,84.0,0.5065251579855538
Berlin,85.0,0.7557263286465598
Berlin,86.0,0.3787054256801357
Berlin,87.0,0.46919256997239234
Berlin,88.0,0.44515052811815414
Berlin,89.0,0.5109890575694143
Berlin,90.0,0.4687109886647857
Berlin,91.0,0.3874782138693864
Berlin,92.0,0.4699962087615722
Berlin,93.0,0.4468672559705802
Berlin,94.0,0.4735707473767779
Berlin,95.0,0.5102069114209805
Berlin,96.0,0.5368726514888198
Berlin,97.0,0.48213342851623936
Berlin,98.0,0.4753457841397027
Berlin,99.0,0.4082669419450883
Berlin,100.0,0.48253301813280197
Budapest,20.0,0.39769035992426105
Budapest,40.0,0.6293686225568065
Budapest,50.0,0.3179333554707765
Budapest,60.0,0.34281549127227895
Budapest,65.0,0.2462995185304781
Budapest,67.0,0.3863001315041982
Budapest,69.0,0.1193546531710247
Budapest,70.0,0.2606039833820877
Budapest,71.0,0.2056492594946374
Budapest,72.0,0.4504491721534787
Budapest,73.0,0.5723785976582745
Budapest,75.0,0.7591212953972195
Budapest,76.0,0.40807148892767586
Budapest,77.0,0.5280715922068338
Budapest,78.0,0.5643992678356019
Budapest,79.0,0.4275163195388849
Budapest,80.0,0.34261437112774673
Budapest,81.0,0.3559417192177129
Budapest,82.0,0.3681830921237131
Budapest,83.0,0.34558070563933097
Budapest,84.0,0.31950438448154084
Budapest,85.0,0.38339983656818294
Budapest,86.0,0.3202964720456199
Budapest,87.0,0.32623455165485166
Budapest,88.0,0.37904026265907803
Budapest,89.0,0.3238109597972769
Budapest,90.0,0.37674469594683285
Budapest,91.0,0.38115375009999436
Budapest,92.0,0.3920999416683967
Budapest,93.0,0.36224247868413634
Budapest,94.0,0.36108798737028214
Budapest,95.0,0.3650306869347073
Budapest,96.0,0.3698105587050679
Budapest,97.0,0.36428523443692773
Budapest,98.0,0.3740328900556471
Budapest,99.0,0.3720876130158627
Budapest,100.0,0.42454034741446267
Lisbon,20.0,0.3683277425204747
Lisbon,30.0,0.9080007148415726
Lisbon,40.0,0.47204185780028796
Lisbon,44.0,0.39478606280766804
Lisbon,47.0,0.28435773815641957
Lisbon,50.0,0.3310163001086948
Lisbon,53.0,0.4808308859690771
Lisbon,60.0,0.481284860047906
Lisbon,62.0,0.4897350774101371
Lisbon,63.0,0.172661437456744
Lisbon,64.0,0.5186011741662117
Lisbon,66.0,0.651422578020268
Lisbon,67.0,0.3771918051631724
Lisbon,68.0,0.2285913158464867
Lisbon,69.0,0.43212465885234025
Lisbon,70.0,0.44036249100105945
Lisbon,71.0,0.6688685497587014
Lisbon,72.0,0.49950628032537603
Lisbon,73.0,0.3956628773404619
Lisbon,74.0,0.49736645838818094
Lisbon,75.0,0.45387895730805367
Lisbon,76.0,0.44227091163760807
Lisbon,77.0,0.5065541283205803
Lisbon,78.0,0.5377398195682125
Lisbon,79.0,0.4310587962142769
Lisbon,80.0,0.43400552682410276
Lisbon,81.0,0.31737208672085365
Lisbon,82.0,0.4603954886845373
Lisbon,83.0,0.48858154292171757
Lisbon,84.0,0.45815368705367393
Lisbon,85.0,0.42930770408985097
Lisbon,86.0,0.4204573313138398
Lisbon,87.0,0.46395515687105443
Lisbon,88.0,0.48850203451447
Lisbon,89.0,0.45485523257061555
Lisbon,90.0,0.46720175141620784
Lisbon,91.0,0.4608018257100088
Lisbon,92.0,0.4782033406973434
Lisbon,93.0,0.49079723207343673
Lisbon,94.0,0.46411925208155
Lisbon,95.0,0.4852673579608179
Lisbon,96.0,0.4595001536524922
Lisbon,97.0,0.47524492186712425
Lisbon,98.0,0.4825271990677929
Lisbon,99.0,0.49694064780605574
Lisbon,100.0,0.42696634402788003
Paris,20.0,0.18284055962499862
Paris,40.0,0.21122835319695618
Paris,50.0,0.2494967283268538
Paris,53.0,0.26453532816194325
Paris,56.0,0.1911546039928807
Paris,60.0,0.2354035976373425
Paris,64.0,0.2897843284481304
